Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist - All Levels,₹4L - ₹6L (Glassdoor Est.),"Data Scientist - All Levels
Located in Bangalore, Karnataka, India
ABOUT THIS JOB
Salary: N.A
Employment Type: Full Time
Industry : Financial services
Company Type: Private",3.9,"Greenizon Agritech Consultancy
3.9",Bangalore,51 to 200 Employees,2017,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Pearl Technologies invests time and support into its employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies.
We are currently expanding and looking to add a motivated and experienced Data Scientist to our team in Chandigarh location.
Responsibilities:
Understand the business requirements and processes around advanced analytics model execution.
Collect data from disparate structured and unstructured sources in support of model development.",-1,Pearl Technologies Ltd.,Remote,51 to 200 Employees,2017,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",3.5,"Nordic Intent
3.5",Bardez,51 to 200 Employees,2017,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Must experience in :
AI Deep Learning
Machine Learning
NLP
SQL
Model Deployment
Cloud Computing
Data Engineering",4.2,"IBST Private Limited
4.2",Pune,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms",-1,TheHive,Remote,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Analyst - Data Science,₹4L - ₹6L (Glassdoor Est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.",4.2,"Visa
4.2",Mumbai,10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist Intern,₹4L - ₹6L (Glassdoor Est.),"0-1 Years
Hyderabad | Full-Time Internship | Stipend - Performance-Based | Work from Office
Dec 24,2022 16:38:22
Job Title: Data Scientist Intern
Position Type: FullTime
Experience: 0 - 1 Years
Location Hyderabad | Full-Time Internship | Stipend - Performance-Based | Work from Office
Job Status Active",4.8,"PAGO Analytics
4.8",Hyderābād,51 to 200 Employees,1958,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Job Description
This is a remote position.
At Ataloud, We are lookign for Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.


In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.",5.0,"Ataloud Technologies
5.0",Remote,1 to 50 Employees,2021,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Roles and Responsibilities
· Identify valuable data sources and automate processes
· Undertake pre-processing of structured and unstructured data
· Analyse large amounts of information to discover trends and patterns
· Build predictive models and machine-learning algorithms
· Present information using data visualization techniques
· Propose solutions and strategies to business challenges
· Collaborate with engineering and product development teams",4.8,"Roadcast Tech. Solutions Pvt. Ltd.
4.8",New Delhi,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Junior Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Job Information
Industry
IT Services
Work Experience
1-3 years
Remote Job
Job Description",4.8,"Marktine Technology Solutions
4.8",Remote,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"About NCR
NCR Corporation (NYSE: NCR) is a leader in transforming, connecting and running technology platforms for self-directed banking, stores and restaurants. NCR is headquartered in Atlanta, Ga., with 38,000 employees globally. NCR is a trademark of NCR Corporation in the United States and other countries.
GRADE 9/10: HR DATA SCIENTIST
POSITION SUMMARY:
The People Analytics team plays a critical role in delivering actionable and high-impact insights that continuously drive the organization towards achieving its business goals. The incumbent will work with complex sets of data and translate it into meaningful insights and business recommendations. The person in this position must be both business-oriented and technically-savvy and is the connection between the people analytics function, the senior leadership team, the HR community, and managers. The incumbent can explain findings from the data to executives and easily translate recommendations into the business's language.",3.6,"NCR
3.6",New Delhi,10000+ Employees,1884,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
Data Science,₹4L - ₹6L (Glassdoor Est.),"Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization
Additional Responsibilities:
• Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation
Technical and Professional Requirements:
• Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Preferred Skills:
Python,Artificial Intelligence->Python ML,Machine Learning->Data Science,Artificial Intelligence->NLP Deep Learning Algorithms,Bigdata->Pyspark
Educational Requirements
Bachelor of Engineering",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Science/ Data Analyst,₹4L - ₹6L (Glassdoor Est.),"Job Title: Data Science/ Data Analyst
Good Knowledge in MS SQL server, MS Office
Key Skiils: Data visualisation and tools.
: Analytic skills, predictive modelling
Qualification: Graduate/ PG
: Certification in any data science/ data anlytical courses is an added
advantage
Job Types: Full-time, Fresher",-1,Geosense Systems and Technologies,Eranakulam,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Machine Learning Engineer,₹4L - ₹6L (Glassdoor Est.),"Job Description:
Required Machine Learning Experts for EDA Products, we need people who are passionate about technology, constantly seeking to learn and improve their skill set with good communication and interpersonal skills.
Responsibilities and Duties:
Should be proficient in Python and applying ML Algorithms.
Good knowledge of machine learning algorithms like Neural network, CNN, Logistic regression, KNN, Random Forest, decision tree, clustering etc.
knowledge of C with good programming skills & logical interpretation.",5.0,"Agnisys Technology Inc
5.0",Noida,Unknown,1981,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Deputy Manager
Pune
Posted 3 weeks ago
Key Job Roles and Responsibilities:
1. Self-motivated, and have demonstrated abilities to think independently as a data scientist.
2. Structure your data science approach according to the necessary task, while appropriately applying the correct level of model complexity to the problem at hand
3. Identify valuable data sources and automate collection processes
4. Undertake pre-processing of structured and unstructured data
5. Analyse large amounts of information to discover trends and patterns
6. Build predictive models and machine-learning algorithms
7. Present information using data visualization techniques
8. Propose solutions and strategies to business challenges
9. Collaborate with engineering and product development teams
10. Analytical mind and business acumen
11. Ability to spin up quick visualization prototypes in Power BI, Qliksense, or other similar tools is preferred. Experience with R-Shiny, Bokeh, Django, or JavaScript is a plus. Technical / Functional / Domain Skills require: 1. Strong working experience (5-8 Years) industrial machine data, descriptive, predictive, and prescriptive analytics with ML/DL models.
2. Advanced data transformations, feature engineering, Anomaly detection using unsupervised techniques.
3. Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
4. Proven experience as a Data Scientist
5. Experience in data mining
6. Understanding of machine-learning
7. Knowledge of R, SQL and Python
8. Mandatory Edge ML experience (Tiny ML or Edge ML)
9. Should have experience in product deployment. Education Qualification:
B-Tech/BE in Computer Science, Engineering, or relevant field mandatory",5.0,"Sorigin Group
5.0",Pune,1 to 50 Employees,1981,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist / AI-ML Engineer,₹4L - ₹6L (Glassdoor Est.),"Description
Data Scientist / AI-ML Engineer
Duties and Responsibilities:
1. Research and Develop Innovative Solutions and Quantitative Models for positive impact on Hitachi’s business (e.g., Energy, Industry, Mobility, Smart Life and Financial Services).
2. Provide R&D support to Hitachi business units and group companies for commercialization of research prototypes. This includes Design, Implementation and Demonstration of Proof-of-Concept (PoC) and Working Proto-types,. Exploration of emerging tools, techniques, and technologies are expected.",3.8,"Hitachi India Pvt, Ltd.
3.8",Bangalore,10000+ Employees,1910,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist - India,₹4L - ₹6L (Glassdoor Est.),"Data Science @ Tookitaki
The data science team is responsible for solving business problems with complex data. Data complexity could be characterized in terms of volume, dimensionality and multiple touchpoints/sources. We understand the data, ask fundamental-first-principle questions, apply our analytical and machine learning skills to solve the problem in the best way possible. We also encourage to participate in competitions like Kaggle.
Our ideal candidate :
We are looking for a junior data scientist who has a deep interest in theoretical and applied machine learning and loves working in a fast-paced environment.
He/she should have 3-5 years' work experience in predictive analytics/forecasting space and have solved real-world problems. Candidates with experience in transactional anomaly prediction, operational risk modelling would be given preference.",4.5,"Tookitaki Holding PTE LTD
4.5",Bangalore,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Science,₹4L - ₹6L (Glassdoor Est.),"Research, design and implementation of machine learning solutions that shall would be applicable for 5G-RAN Edge, use cases.
Key duties/ responsibilities:
The person shall work with system engineers, data engineers and software engineers to research, design and implement machine learning solutions for complex telecom (5G, RAN, Edge) use cases
Skill Profile:
5+ years of experience - minimum 3 years of hands-on experience applying machine learning techniques
to business problems.",4.1,"GadgEon
4.1",Cochin,501 to 1000 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Responsibilities
Industry knowledge- Knows basic principles of industry lexicon, competitor landscape, sub-verticals and related best practices in order to provide suggestions for specific functional processes. Basic understanding of industry standards to document current customer compliance and gaps. Functional/Process knowledge- Shows the basic understanding of processes in relevant functional areas (such as Telecom – Fulfillment, Assurance, Workforce Management, Billing etc.) in order to Document or guide documentation of simple as-is customer processes Appreciate the context of customer requirements from specific engagements Ability to suggest Analytics algorithms to use based on business situation mindful of fundamental assumptions in the algorithms; OR Work with other data scientists as a team to understand algorithms suggested and provide QA in algorithm choice from a business perspective Align our deliverables to customer requirements, provide business acumen to avoid apparently bookish or theoretical output Ability to converse with customers on rationale for an approach taken, pros and cons, etc. Responsible for successful delivery of Advanced Analytics solutions and services in client consulting environments; experience in optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics using AAO tools, such as SAS or SPSS and other Tools R and Python. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and present to client. Assist clients in identifying type of analytics and management data that will directly relate to improving clients' market share or any other measure client is addressing. Identify the differentiators, map them to present-day environment, and then design an improvement plan. Discover new opportunities to optimize the business through analytics and statistical modeling. Oversee all aspects of analytics and business intelligence projects if necessary.
Additional Responsibilities:
Analytical ability- Looks at data from multiple sources and integrates data/inputs in a manner to build cause effect linkages to arrive at key issues. Uses understanding of the problem to arrive at multiple solution alternatives keeping in mind the various stakeholders and assess the pros and cons of all the alternatives to arrive at the optimal solution Business acumen- Understands the linkages of metrics and end objectives to key business drivers and aligns team efforts to deliver on it. Demonstrates basic understanding of business financial parameters and is aware of business value impact of activities and decisions taken by him/her and team. High Impact Communication- Assesses the target audience need, prepares and practices a logical flow, answers audience questions appropriately and sticks to timeline.
Technical and Professional Requirements:
Domain / Technical /Tools / Platform / FrameWorks - Knowledge: Preferred Proficiency with statistical analysis tools (e.g., SAS, SPSS, R & Python) Hands on experience in Statistical Techniques & Deep Learning such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others Experience of Forecasting, Campaign Management and Customer Segmentation is desirable Strong Excel, Access and PowerPoint skills Familiarity with database query tools (SQL) Basic understanding of data warehouse architecture Understanding of various Analytical Tools, Platform & Frameworks.
Preferred Skills:
Analytics->Data Science
Educational Requirements
Bachelor of Engineering",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Please share cvs of candidates who have minimum 3+ yrs of experience in data science out of which 2+ yrs should be in Machine learning.
Candidates should have strong hands-on experience on SQL, Python, ML, Predictive modelling.
We are looking for early joiners from premier companies.
Candidate should be able to onboard us by 1st week of January 2023.
Comm skills have to be 10/10.
Domain will be US Insurance.
For Gurgaon we need candidates with 3+ yrs of experience and for Bangalore we need minimum 4+ yrs of experience. Please share candidates from premier/well established companies alone or else we cannot process them.",4.2,"VARITE Inc.
4.2",Gurgaon,201 to 500 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
"Senior Staff Software Engineer, Machine Learning, Search",₹7L - ₹9L (Glassdoor Est.),"Minimum qualifications:
Bachelor's degree or equivalent practical experience.
8 years of experience in software development, and with data structures/algorithms.
5 years of experience with design and architecture; and testing/launching software products.
7 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.


Preferred qualifications:


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5",Bangalore,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Science Internship,₹7L - ₹9L (Glassdoor Est.),"We are providing six months training for Data Science. After the traning we will hire the candidates based on performance wise.
After the training we will provide experience certificates aslo
We are not looking for experienced or trained candidates. We are looking for freshers candidates only.
Both Male and Female candidates can apply.
Job Types: Part-time, Fresher, Internship
Salary: ₹8,000.00 - ₹45,000.00 per month",-1,Oracuz Infotech Pvt Ltd,Thiruvananthapuram,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Science Internship,₹7L - ₹9L (Glassdoor Est.),"We are providing six months training for Data Science. After the traning we will hire the candidates based on performance wise.
After the training we will provide experience certificates aslo
We are not looking for experienced or trained candidates. We are looking for freshers candidates only.
Both Male and Female candidates can apply.
Job Types: Part-time, Fresher, Internship
Salary: ₹8,000.00 - ₹45,000.00 per month",4.0,Oracuz Infotech Pvt Ltd,Thiruvananthapuram,501 to 1000 Employees,2003,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Engineering Leader - Machine Learning,₹7L - ₹9L (Glassdoor Est.),"Eightfold was founded with a vision to solve for employment in our society. For decades, the connection between individuals and opportunities has been based on who the individuals are and the strength of their network, vs. their potential. Eightfold leverages artificial intelligence to transform how to think about skills and capabilities for individuals as well as how jobs and career decisions are made. Eightfold offers the industry’s first AI-powered Talent Intelligence Platform to transform how organizations plan, hire, develop and retain a diverse workforce, enabling individuals to transform their careers.
To date, Eightfold AI has received more than $410 million in funding and a valuation of over $2B from leading investors to further our mission of finding the right career for everyone in the world. If you are passionate about solving one of the most fundamental challenges of our society - employment, working on hard business problems, and being part of an amazing growth story - Eightfold is the place to be!
You may want to refer to the media coverage on TechCrunch and Reuters. Eightfold.ai is led by Ashutosh Garg, a PhD in Machine Learning/IIT Delhi alumni who managed Search and Personalization at Google, and IIT Bombay alumni, who led the News Feed Ranking team at Facebook and developed YouTube Search at Google.",3.7,"Eightfold.AI
3.7",India,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,₹7L - ₹9L (Glassdoor Est.),"Must experience in :
AI Deep Learning
Machine Learning
NLP
SQL
Model Deployment
Cloud Computing
Data Engineering",4.2,"IBST Private Limited
4.2",Bangalore,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
